x,y,r (pixel),is_circle,r (um),group
542,66,58,unmarked,171.10000000000002,338
112,222,71,unmarked,209.45000000000002,339
702,434,40,unmarked,118.0,340
158,364,37,unmarked,109.15,341
614,538,34,unmarked,100.30000000000001,342
476,624,60,unmarked,177.0,343
236,628,56,unmarked,165.20000000000002,344
42,206,54,unmarked,159.3,345
656,600,37,unmarked,109.15,346
300,426,24,unmarked,70.80000000000001,347
582,652,63,unmarked,185.85000000000002,348
802,170,59,unmarked,174.05,349
554,656,56,unmarked,165.20000000000002,350
226,660,38,unmarked,112.10000000000001,351
294,114,60,unmarked,177.0,352
62,594,58,unmarked,171.10000000000002,353
796,378,56,unmarked,165.20000000000002,354
204,54,53,unmarked,156.35000000000002,355
818,318,46,unmarked,135.70000000000002,356
614,460,41,unmarked,120.95,357
306,196,29,unmarked,85.55000000000001,358
808,348,70,unmarked,206.5,359
644,396,48,unmarked,141.60000000000002,360
824,648,37,unmarked,109.15,361
344,252,71,unmarked,209.45000000000002,362
530,34,44,unmarked,129.8,363
572,272,43,unmarked,126.85000000000001,364
276,240,26,unmarked,76.7,365
762,632,52,unmarked,153.4,366
382,86,32,unmarked,94.4,367
424,374,63,unmarked,185.85000000000002,368
436,630,53,unmarked,156.35000000000002,369
352,530,44,unmarked,129.8,370
594,332,35,unmarked,103.25,371
220,270,59,unmarked,174.05,372
112,130,59,unmarked,174.05,373
58,292,49,unmarked,144.55,374
580,676,48,unmarked,141.60000000000002,375
598,260,48,unmarked,141.60000000000002,376
570,118,46,unmarked,135.70000000000002,377
728,206,46,unmarked,135.70000000000002,378
216,642,42,unmarked,123.9,379
98,572,26,unmarked,76.7,380
496,68,56,unmarked,165.20000000000002,381
622,440,49,unmarked,144.55,382
548,532,46,unmarked,135.70000000000002,383
150,384,40,unmarked,118.0,384
86,496,39,unmarked,115.05000000000001,385
456,214,39,unmarked,115.05000000000001,386
636,538,36,unmarked,106.2,387
360,42,25,unmarked,73.75,388
266,164,64,unmarked,188.8,389
802,550,42,unmarked,123.9,390
616,322,33,unmarked,97.35000000000001,391
766,262,29,unmarked,85.55000000000001,392
658,658,27,unmarked,79.65,393
602,386,52,unmarked,153.4,394
474,198,44,unmarked,129.8,395
112,330,54,unmarked,159.3,396
760,514,32,unmarked,94.4,397
336,544,23,unmarked,67.85000000000001,398
724,34,22,unmarked,64.9,399
792,496,44,unmarked,129.8,400
64,268,38,unmarked,112.10000000000001,401
850,452,71,unmarked,209.45000000000002,402
2,530,61,unmarked,179.95000000000002,403
796,244,42,unmarked,123.9,404
754,650,35,unmarked,103.25,405
544,122,44,unmarked,129.8,406
810,466,41,unmarked,120.95,407
760,380,39,unmarked,115.05000000000001,408
